Categories,Headlines
Health,‘Losing weight can reverse diabetes’
Health,Your neck could tell you if you are at risk of diabetes
Health,'Diabetes cure comes a step closer'
Health,"Former Prime Minister HD Devegowda, wife Chennamma test positive for Covid-19"
Health,"Number of Covid tests has been increased from 25,000 to 70,000 tests per day."
Health,Covid-19: India to decide emergency use authorisation of Sputnik V vaccine today
Health,WHO chief toughens tone on China with lab probe call
Health,"India reports 53,480 new Covid-19 cases, 41,280 discharges, and 354 deaths in the last 24 hours, as per the Union health ministry"
Health,People flout Covid-19 safety norms at Gazipur Fruit and Vegetable Market in Delhi
Health,"Telangana reported 684 new Covid-19 cases, 394 recoveries and 3 were reported on 30th March"
Health,"Mizoram reports five fresh Covid-19 cases, tally rises to 4,473"
Health,Covid-19: Devotees gather in huge number to play 'Kapda Fad' Holi in Mathura
Health,50% Indians have no idea that diabetes is a disease of the Pancreas
Health,2 out of 3 diabetics die from heart diseases or stroke
Health,36% Indians are completely unaware that diabetes is even linked with eye problems
Health,24% diabetics are below the age of 40
Health,Diabetes could be the major risk factor for kidney failure
Health,Positive parenting can stop child obesity epidemic
Health,Health ministry allows restricted retail sale of Tamiflu
Health,Evidence-based policy needed to combat H1N1
Health,BMC will regularise clinics in housing societies
Health,"Woman not allowed to abort malformed foetus, baby dies"
Health,"Swine flu claims 2,840 lives worldwide: WHO"
Health,One more swine flu death in Pune; toll rises to 34
Health,Are facemasks effective in preventing H1N1 transmission?
Health,Health Minister calls for transparency in organ donation
Health,New method to diagnose malaria found
Health,World First Aid Day: First respondent plays vital role
Health,20 injured as mini bus rams lorry in Kollam
Health,Six of family killed as car rams into lorry near Dindigul
Health,‘Private hospitals lack a regulator’
Health,Drive against malaria and dengue not intensive: Ibrahim
Health,"Non-smokers also get lung cancer, these are the major reasons"
Health,Role of digital healthcare in critical and remote care
Health,"Coronavirus antibodies are moved from pregnant ladies to their infants, new study finds​"
Health,Experts call rise in Covid cases in few states 'Stochastic spread'
Health,Important points you need to know about birth defects
Health,Here's why you should not bathe everyday in winters
Health,"Bird Flu Scare: Is it safe to eat chicken, eggs?"
Health,Mukhyamantri Arogya mela to restart from today with COVID protocols
Health,Delhi government announce 7-day quarantine for travellers arriving from UK
Health,"Indian vaccines part of solution, says Ecuador envoy during Phase 3 trials of Covaxin"
Health,Patients are now facing stomach ailments post COVID-19
Health,5 things that can happen if you do not treat ADHD
Health,"My COVID vaccine experience: I developed body ache and fever the same day, which went away by next day"
Health,Signs your parents have undiagnosed hypertension
Health,Got WFH fatigue? It's time to try face yoga
Health,Simple yet effective tips and tricks for a healthy lifestyle
Health,"Coronavirus: New risk factors associated with increased risk of COVID-19 infection, as per study"
Health,Recovering from a stomach bug - foods to eat and avoid
Health,Kirron Kher ‘on way to recovery’ from blood cancer: Anupam Kher
Health,5 things you should not do when you are constipated
Health,COVID vs. Allergies: Here's how you can differentiate between the two
Health,How to deal with fat shaming and a negative body image
Health,Diabetes affects men and women differently: Everything you need to know
Health,My COVID Story 2021: It was a mix of physical and mental trauma for me
Health,"Global Regenerative Medicine Conference, NCRM NICHE with Fujio Cup Quiz (FCQ), E-poster and Edogawa NICHE Prize goes hyb…"
Health,Coronavirus vaccine: How effective are COVID vaccines against the new variants? Here's what experts suggest
Health,Coronavirus: Why does COVID-19 cause shortness of breath?
Health,"Fatty liver symptoms: Signs, causes, everything you need to know"
Health,Here is what happens when you do not wash your hands after using the toilet
Health,"Here’s what you need to know about trying IVF, again"
Health,Do's & Don'ts for Couples Undergoing Fertility / IVF Treatment During COVID Pandemic
Health,Breakfast after 8:30 am increases your risk of type 2 diabetes: Study
Health,World Oral Health Day: Importance of oral care for diabetics
Health,Type 2 diabetes symptoms: Three stages in which diabetes (neuropathy) affects your feet
Health,Moderna begins testing its vaccine in babies and young children
Health,Russia reports world's first case of human infection with H5N8 bird flu
Health,"Don't panic, avoid undercooked meat and eggs, say experts on Bird flu"
Health,Passengers from the UK to India will now be subjected to a self-paid RT-PCR test: Health Ministry
Health,Infant antibiotic exposure may affect future immune responses toward allergies: Study
Health,Bengaluru: Blood banks fret as donor numbers fall
Health,"Chennai, you are breathing microplastic!"
Health,"WHO calls for further studies, data on origin of SARS-CoV-2 virus, reiterates that all hypotheses remain open"
Health,Genetic disease delaying kids' brain development discovered
Health,"President Kovind's health improves, shifted from ICU"
Health,Bariatric surgery may reduce cancer risk for obese patients
Health,"‘Medical care requires personal touch, distance is testing doctors’"
Health,Study reveals autism-cholesterol link
Health,Study fouses on exploring connections between ovarian cancer and blood cells
Health,Lung cancer cases on the rise even among non-smokers in recent times
Health,U.S. FDA approves GlaxoSmithKline's blood cancer drug
Health,Mumbai: Doctors arrested for providing fake med degrees to 58 specialists
Health,Bengaluru: Miracle baby for mom with heart disease
Health,Heart transported from Mumbai to Delhi for transplant surgery in 2.5 hrs
Health,Study says cardiac disease risk high in Telangana
Health,Smart stents can better prevent heart attacks
Health,Delhi: Heart arrives late but doctors beat the odds
Health,Sleep for 7 hours to keep your heart younger: Study
Health,World Heart Day 2016: Power Your Life
Health,People still unaware of difference between heart attack and cardiac arrest
Health,FDA clears first medical device accessory for Apple Watch
Health,Skipping breakfast may lead to narrowing arteries: study
Health,"Flexible, organic batteries may power future pacemakers"
Health,India among 5 countries with highest rheumatic heart disease deaths
Health,Government to ink MoU with private hospitals for Hridayam initiative
Health,Researchers recommend sex-specific dosages for women's heart health
Health,Heart attack patients may not benefit from beta blockers: Study
Health,Baby undergoes valve repair within six hours of birth
Health,'Smoking pot heightens risk of stroke'
Health,E-cigarettes may up cardiovascular health risk: Study
Health,Winter brings 25% risk of heart attack
Health,Heart damage due to chemotherapy worse in diabetics: study
Health,Found: Gene that limits desire to drink alcohol!
Health,"Covid results in brain abnormalities like speech issues, confusion"
